statement,label
What is -2/1+9?,7
What is (-4+10)-2?,2
What is (-1+10)-2?,2
What is (41-5)/9?,6
What is (0+1)+6?,1
What is (2+10)-8?,2
What is (11+5)-9?,2
What is (14-9)-1?,5
What is 315/5/9?,9
What is 280/10/7?,9
What is (65-9)/8?,6
What is 56/2/7?,9
What is (13+4)-10?,2
What is (4+8)-8?,2
What is 160/10-9?,8
What is (44-8)/9?,6
What is 24/8+4?,7
What is (-12+9)+7?,1
What is (12-10)+5?,4
What is 98/7-10?,8
What is (0+2)+5?,1
What is 72/6-8?,8
What is 30/3-3?,8
What is (12+4)/4?,3
What is 280/8/5?,9
What is -15/3+9?,7
What is (55+8)/9?,3
What is 320/8/10?,9
What is 2/2+6?,7
What is 18/9+2?,7
What is (33+2)/5?,3
What is 56/7-4?,8
What is 90/10-2?,8
What is 7/1-3?,8
What is (5+10)-8?,2
What is (7+5)-8?,2
What is 84/7-5?,8
What is (-2+10)/2?,3
What is (15-3)-5?,5
What is (0+2)+2?,1
What is 448/8/8?,9
What is (40-8)/8?,6
What is (37-9)/4?,6
